date;bugs;new_bugs;new_reliability_rating;new_reliability_remediation_effort;reliability_rating;reliability_remediation_effort;new_security_rating;new_security_remediation_effort;new_vulnerabilities;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;new_code_smells;new_maintainability_rating;new_sqale_debt_ratio;new_technical_debt;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;branch_coverage;conditions_by_line;conditions_to_cover;coverage;coverage_line_hits_data;covered_conditions_by_line;executable_lines_data;it_branch_coverage;it_conditions_by_line;it_conditions_to_cover;it_coverage;it_coverage_line_hits_data;it_covered_conditions_by_line;it_line_coverage;it_lines_to_cover;it_uncovered_conditions;it_uncovered_lines;line_coverage;lines_to_cover;new_branch_coverage;new_conditions_to_cover;new_coverage;new_it_branch_coverage;new_it_conditions_to_cover;new_it_coverage;new_it_line_coverage;new_it_lines_to_cover;new_it_uncovered_conditions;new_it_uncovered_lines;new_line_coverage;new_lines_to_cover;new_overall_branch_coverage;new_overall_conditions_to_cover;new_overall_coverage;new_overall_line_coverage;new_overall_lines_to_cover;new_overall_uncovered_conditions;new_overall_uncovered_lines;new_uncovered_conditions;new_uncovered_lines;overall_branch_coverage;overall_conditions_by_line;overall_conditions_to_cover;overall_coverage;overall_coverage_line_hits_data;overall_covered_conditions_by_line;overall_line_coverage;overall_lines_to_cover;overall_uncovered_conditions;overall_uncovered_lines;skipped_tests;test_data;test_errors;test_execution_time;test_failures;test_success_density;tests;uncovered_conditions;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;duplications_data;new_duplicated_blocks;new_duplicated_lines;new_duplicated_lines_density;classes;comment_lines;comment_lines_data;comment_lines_density;directories;files;functions;generated_lines;generated_ncloc;lines;ncloc;ncloc_data;ncloc_language_distribution;new_lines;projects;statements;team_size;class_complexity;class_complexity_distribution;cognitive_complexity;complexity;complexity_in_classes;complexity_in_functions;file_complexity;file_complexity_distribution;function_complexity;function_complexity_distribution;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;new_blocker_violations;new_critical_violations;new_info_violations;new_major_violations;new_minor_violations;new_violations;open_issues;reopened_issues;violations;wont_fix_issues;commented_out_code_lines;public_api;public_documented_api_density;public_undocumented_api;WMC;NOC;DIT;LOC;LCOM;LCOM3;CAM;CBO;CBM;Ca;Ce;IC;MOA;NPM;DAM;AMC;RFC
2015-12-18;50.0;;;;5.0;475.0;;;;5.0;200.0;15.0;738.0;588270.0;0.0;;;;;1.2;6972.0;1.0;0.35555102248967313;;;;0.0;;;;;;;;;;;;;;0.0;10643.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10643.0;6.0;4.0;62.0;0.2;;;;;216.0;4005.0;;17.0;45.0;166.0;1767.0;;;31538.0;19609.0;;"java=18494;xml=1115";;;8808.0;;19.9;;3271.0;4294.0;;;29.0;"0=42;5=27;10=26;20=10;30=19;60=12;90=12";2.3;"1=913;2=460;4=142;6=51;8=35;10=16;12=34";33.0;0.0;136.0;0.0;34.0;349.0;251.0;;;;;;;803.0;0.0;803.0;0.0;;;;;62.41959435;1.577183049;0.804624454;2060135;186.027905;0.784903902;0.313555665;16.61067648;0.303019462;7.9848383720000005;9.289076687;0.182891898;9.35029452;35.68377218;0.7249961770000001;110.34699909999999;48.20872758
2015-12-25;50.0;;;;5.0;475.0;;;;5.0;200.0;15.0;745.0;591870.0;0.0;;;0.0;;1.2;7065.0;1.0;0.35810228597496074;;;;0.0;;;;;;;;;;;;;;0.0;10675.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10675.0;6.0;4.0;62.0;0.2;;;;;221.0;3817.0;;16.2;46.0;170.0;1777.0;;;31657.0;19729.0;;"java=18571;xml=1158";;;8820.0;;19.5;;3273.0;4304.0;;;28.3;"0=43;5=28;10=27;20=11;30=20;60=11;90=12";2.3;"1=915;2=456;4=145;6=52;8=35;10=16;12=34";34.0;0.0;138.0;0.0;33.0;350.0;255.0;;;;;;;810.0;0.0;810.0;0.0;;;;;62.35837099;1.5762815280000002;0.804596797;2060217;186.2905252;0.7848940179999999;0.313753357;16.59566201;0.304382014;7.961115261000001;9.296695931;0.18314963899999998;9.368330132;35.63718094;0.724955672;110.3578443;48.15821149
2016-01-01;51.0;;;;5.0;480.0;;;;5.0;200.0;15.0;757.0;608160.0;0.0;;;0.0;;1.2;7166.0;1.0;0.3534925019731649;;;;0.0;;;;;;;;;;;;;;0.0;11022.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11022.0;6.0;4.0;62.0;0.2;;;;;227.0;3897.0;;16.1;47.0;173.0;1821.0;;;32458.0;20272.0;;"java=19149;xml=1123";;;9142.0;;19.6;;3402.0;4446.0;;;28.7;"0=42;5=31;10=27;20=11;30=19;60=12;90=13";2.3;"1=928;2=474;4=153;6=54;8=35;10=16;12=36";35.0;0.0;142.0;0.0;33.0;354.0;259.0;;;;;;;823.0;0.0;823.0;0.0;;;;;62.21187664;1.5702268830000001;0.8054319759999999;2068161;183.2643131;0.7855635999999999;0.313563112;16.6208419;0.303892685;7.98606975;9.303594353;0.18252544199999998;9.348030932;35.63526244;0.722863452;110.08106570000001;48.21548661
2016-01-08;51.0;;;;5.0;480.0;;;;5.0;200.0;15.0;757.0;611340.0;0.0;;;0.0;;1.2;7167.0;1.0;0.35170281676317605;;;;0.0;;;;;;;;;;;;;;0.0;11023.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11023.0;6.0;4.0;62.0;0.2;;;;;227.0;3898.0;;16.1;47.0;173.0;1821.0;;;32632.0;20378.0;;"java=19148;xml=1230";;;9143.0;;19.6;;3403.0;4447.0;;;28.7;"0=42;5=31;10=27;20=11;30=19;60=12;90=13";2.3;"1=928;2=474;4=153;6=54;8=35;10=16;12=36";35.0;0.0;142.0;0.0;33.0;354.0;259.0;;;;;;;823.0;0.0;823.0;0.0;;;;;64.42528788;1.568209664;0.8075339570000001;2088597;183.97422580000003;0.7854555000000001;0.313114497;16.66933209;0.303167629;8.063771517000001;9.283206382000001;0.18298791;10.50360936;37.00528824;0.7211151790000001;109.4433258;48.30505311
2016-01-15;51.0;;;;5.0;480.0;;;;5.0;210.0;16.0;759.0;609690.0;0.0;;;0.0;;1.2;7206.0;1.0;0.3545736357821188;;;;0.0;;;;;;;;;;;;;;0.0;11058.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11058.0;6.0;4.0;62.0;0.2;;;;;227.0;3899.0;;16.1;47.0;173.0;1822.0;;;32521.0;20323.0;;"java=19200;xml=1123";;;9177.0;;19.7;;3421.0;4466.0;;;28.8;"0=42;5=31;10=27;20=11;30=19;60=12;90=13";2.3;"1=929;2=472;4=153;6=55;8=35;10=17;12=36";35.0;0.0;143.0;0.0;32.0;356.0;260.0;;;;;;;826.0;0.0;826.0;0.0;;;;;62.279179500000005;1.5699870169999999;0.8032993070000001;2068798;183.42094540000002;0.785543586;0.313439011;16.64149376;0.303799114;7.994874318;9.315956899;0.182469241;9.359269005;35.67566771;0.7228095729999999;110.06007930000001;48.24840028
2016-01-22;51.0;;;;5.0;480.0;;;;5.0;210.0;16.0;766.0;613710.0;0.0;;;0.0;;1.2;7276.0;1.0;0.3556728748105783;;;;0.0;;;;;;;;;;;;;;0.0;11105.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11105.0;6.0;4.0;62.0;0.2;;;;;230.0;3902.0;;16.0;47.0;176.0;1852.0;;;32744.0;20457.0;;"java=19334;xml=1123";;;9215.0;;19.6;;3426.0;4500.0;;;28.5;"0=42;5=33;10=27;20=12;30=19;60=12;90=13";2.3;"1=956;2=475;4=153;6=55;8=35;10=17;12=36";35.0;0.0;144.0;0.0;32.0;358.0;264.0;;;;;;;833.0;0.0;833.0;0.0;;;;;62.2760126;1.56978442;0.803360455;2069065;183.4113061;0.7855253459999999;0.31344157899999997;16.63945067;0.303795676;7.993846979;9.314854777;0.18248145899999998;9.358135196000001;35.67593382;0.722805228;110.04674720000001;48.24492416
2016-01-29;51.0;;;;5.0;480.0;;;;5.0;210.0;16.0;782.0;619950.0;0.0;;;0.0;;1.2;7450.0;1.0;0.3605129445923058;;;;0.0;;;;;;;;;;;;;;0.0;11220.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11220.0;6.0;4.0;62.0;0.2;;;;;235.0;3940.0;;16.0;47.0;179.0;1869.0;;;33093.0;20665.0;;"java=19542;xml=1123";;;9313.0;;19.3;;3470.0;4540.0;;;28.2;"0=43;5=33;10=29;20=12;30=19;60=12;90=13";2.3;"1=965;2=479;4=153;6=58;8=35;10=17;12=36";35.0;0.0;144.0;0.0;33.0;364.0;273.0;;;;;;;849.0;0.0;849.0;0.0;;;;;62.2781218;1.5709799469999999;0.8034487640000001;2071409;183.3906689;0.785240385;0.313446065;16.63503683;0.303816871;7.991749093999999;9.312289364;0.182335792;9.36053382;35.69460111;0.723021383;109.95901200000002;48.244842999999996
2016-02-05;51.0;;;;5.0;480.0;;;;5.0;210.0;16.0;788.0;624960.0;0.0;;;0.0;;1.2;7519.0;1.0;0.36093509984639016;;;;0.0;;;;;;;;;;;;;;0.0;11311.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11311.0;6.0;4.0;62.0;0.2;;;;;238.0;3956.0;;16.0;47.0;182.0;1885.0;;;33417.0;20832.0;;"java=19709;xml=1123";;;9381.0;;19.3;;3493.0;4583.0;;;27.9;"0=45;5=34;10=29;20=11;30=20;60=12;90=13";2.3;"1=976;2=479;4=155;6=57;8=37;10=18;12=36";35.0;0.0;144.0;0.0;33.0;365.0;278.0;;;;;;;855.0;0.0;855.0;0.0;;;;;62.38533825;1.569204645;0.8036719959999999;2074131;183.2986123;0.7851765390000001;0.31322226;16.64400272;0.306660958;7.992451779;9.320891496;0.185339306;9.386641442;35.77266961;0.7233795740000001;109.85086000000001;48.27618651
2016-02-12;52.0;;;;5.0;490.0;;;;5.0;210.0;16.0;777.0;623760.0;0.0;;;0.0;;1.2;7374.0;1.0;0.35465563678337825;;;;0.0;;;;;;;;;;;;;;0.0;11286.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11286.0;6.0;4.0;62.0;0.2;;;;;237.0;3958.0;;16.0;47.0;182.0;1879.0;;;33366.0;20792.0;;"java=19669;xml=1123";;;9361.0;;19.3;;3488.0;4575.0;;;27.9;"0=45;5=34;10=29;20=11;30=20;60=12;90=13";2.3;"1=972;2=477;4=155;6=57;8=37;10=18;12=36";35.0;0.0;142.0;0.0;33.0;357.0;278.0;;;;;;;845.0;0.0;845.0;0.0;;;;;62.36825649;1.5683490919999998;0.803843269;2073495;183.30465900000002;0.78518347;0.31323683;16.64543295;0.30675502;7.993847103999999;9.321204053999999;0.185396155;9.38531899;35.74923065;0.7232947270000001;109.87909350000001;48.27859194
2016-02-19;52.0;;;;5.0;490.0;;;;5.0;210.0;16.0;780.0;625860.0;0.0;;;0.0;;1.2;7387.0;1.0;0.3540887738471863;;;;0.0;;;;;;;;;;;;;;0.0;11329.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11329.0;6.0;4.0;62.0;0.2;;;;;238.0;3967.0;;16.0;47.0;182.0;1889.0;;;33453.0;20862.0;;"java=19739;xml=1123";;;9401.0;;19.3;;3519.0;4598.0;;;28.0;"0=45;5=34;10=29;20=11;30=20;60=12;90=13";2.3;"1=974;2=484;4=158;6=54;8=37;10=18;12=37";35.0;0.0;145.0;0.0;33.0;357.0;278.0;;;;;;;848.0;0.0;848.0;0.0;;;;;62.50364982;1.5668778019999998;0.804174725;2075442;184.1273661;0.7851310709999999;0.31340553;16.63768874;0.307117713;7.991749227000001;9.315091436;0.185872696;9.37939292;35.84286672;0.722609449;109.79448090000001;48.28922947
2016-02-26;52.0;;;;5.0;490.0;;;;5.0;210.0;16.0;780.0;626610.0;0.0;;;0.0;;1.2;7399.0;1.0;0.3542394791018337;;;;0.0;;;;;;;;;;;;;;0.0;11349.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11349.0;6.0;4.0;62.0;0.2;;;;;238.0;3968.0;;16.0;47.0;182.0;1889.0;;;33485.0;20887.0;;"java=19764;xml=1123";;;9417.0;;19.3;;3528.0;4605.0;;;28.1;"0=45;5=34;10=29;20=11;30=20;60=12;90=13";2.3;"1=974;2=482;4=159;6=55;8=37;10=18;12=37";35.0;0.0;145.0;0.0;32.0;358.0;278.0;;;;;;;848.0;0.0;848.0;0.0;;;;;62.55916497;1.566392513;0.804244046;2076085;184.3029967;0.785305997;0.313407206;16.63851721;0.307022593;7.993745439;9.314465448;0.185815128;9.378918492999999;35.85753377;0.722612513;109.77738000000001;48.30970408
2016-03-04;52.0;;;;5.0;490.0;;;;5.0;210.0;16.0;780.0;627630.0;0.0;;;0.0;;1.2;7393.0;1.0;0.35337698962764685;;;;0.0;;;;;;;;;;;;;;0.0;11373.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11373.0;6.0;4.0;62.0;0.2;;;;;238.0;3977.0;;16.0;47.0;182.0;1890.0;;;33530.0;20921.0;;"java=19798;xml=1123";;;9442.0;;19.4;;3545.0;4613.0;;;28.1;"0=45;5=34;10=29;20=11;30=20;60=12;90=13";2.3;"1=974;2=482;4=160;6=55;8=36;10=19;12=37";35.0;0.0;145.0;0.0;32.0;358.0;278.0;;;;;;;848.0;0.0;848.0;0.0;;;;;62.62056603;1.566040998;0.8042879759999999;2076551;184.61334250000002;0.7853267270000001;0.313316649;16.64004785;0.306953694;7.994279457;9.315745195;0.185773429;9.378636017;35.85834347;0.722674281;109.7607764;48.33559445
2016-03-11;52.0;;;;5.0;490.0;;;;5.0;210.0;16.0;780.0;627720.0;0.0;;;0.0;;1.2;7393.0;1.0;0.3533263238386542;;;;0.0;;;;;;;;;;;;;;0.0;11375.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11375.0;6.0;4.0;62.0;0.2;;;;;238.0;3977.0;;16.0;47.0;182.0;1890.0;;;33533.0;20924.0;;"java=19801;xml=1123";;;9443.0;;19.4;;3545.0;4613.0;;;28.1;"0=45;5=34;10=29;20=11;30=20;60=12;90=13";2.3;"1=974;2=482;4=160;6=55;8=36;10=19;12=37";35.0;0.0;145.0;0.0;32.0;358.0;278.0;;;;;;;848.0;0.0;848.0;0.0;;;;;62.62144917;1.5660093240000001;0.8042919340000001;2076593;184.58767849999998;0.7853368470000001;0.313280937;16.63492943;0.306947486;7.990185366;9.314744872999999;0.185769672;9.383508467999999;35.85881441;0.722710228;109.76061170000001;48.33591705
2016-03-18;52.0;;;;5.0;490.0;;;;5.0;210.0;16.0;780.0;627750.0;0.0;;;0.0;;1.2;7393.0;1.0;0.3533094384707288;;;;0.0;;;;;;;;;;;;;;0.0;11376.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11376.0;6.0;4.0;62.0;0.2;;;;;238.0;3976.0;;16.0;47.0;182.0;1890.0;;;33534.0;20925.0;;"java=19802;xml=1123";;;9444.0;;19.4;;3545.0;4613.0;;;28.1;"0=45;5=34;10=29;20=11;30=20;60=12;90=13";2.3;"1=974;2=482;4=160;6=55;8=36;10=19;12=37";35.0;0.0;145.0;0.0;32.0;358.0;278.0;;;;;;;848.0;0.0;848.0;0.0;;;;;62.6249944;1.565973127;0.8042964579999999;2076641;184.5913169;0.7853384379999999;0.31327610300000003;16.63581621;0.30694039100000003;7.990254936;9.315615939;0.185765378;9.38500203;35.86062059;0.7227108590000001;109.7599027;48.33893725
2016-03-25;52.0;;;;5.0;490.0;;;;5.0;210.0;16.0;777.0;628230.0;0.0;;;0.0;;1.2;7368.0;1.0;0.35184566162074393;;;;0.0;;;;;;;;;;;;;;0.0;11390.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11390.0;6.0;4.0;62.0;0.2;;;;;239.0;3982.0;;16.0;47.0;180.0;1893.0;;;33531.0;20941.0;;"java=19818;xml=1123";;;9453.0;;19.3;;3555.0;4622.0;;;28.5;"0=43;5=33;10=30;20=11;30=20;60=12;90=13";2.3;"1=975;2=481;4=162;6=55;8=36;10=19;12=37";35.0;0.0;145.0;0.0;32.0;357.0;276.0;;;;;;;845.0;0.0;845.0;0.0;;;;;62.61026033;1.567093619;0.803593791;2076971;184.5372858;0.785320065;0.313331289;16.63013398;0.306891622;7.990065822;9.311371223;0.185735862;9.383897994;35.84663772;0.722538735;109.7500846;48.32723856
